Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  00:01:00,25.4,30.633554300345853 
 05/15  00:02:00,25.4,30.614690012232366 
 05/15  00:03:00,25.4,30.59577268889997 
 05/15  00:04:00,25.4,30.576745360653266 
 05/15  00:05:00,25.3,30.557521332226855 
 05/15  00:06:00,25.3,30.538003302628667 
 05/15  00:07:00,25.3,30.51810829544379 
 05/15  00:08:00,25.3,30.497785048730503 
 05/15  00:09:00,25.2,30.477009128264353 
 05/15  00:10:00,25.2,30.455805336738713 
 05/15  00:11:00,25.2,30.434210977245872 
 05/15  00:12:00,25.2,30.41228057887119 
 05/15  00:13:00,25.1,30.39007814303543 
 05/15  00:14:00,25.1,30.367668996947554 
 05/15  00:15:00,25.1,30.34510444124087 
 05/15  00:16:00,25.1,30.322445823703244 
 05/15  00:17:00,25.1,30.299745749560028 
 05/15  00:18:00,25.0,30.27703551275292 
 05/15  00:19:00,25.0,30.254353997899525 
 05/15  00:20:00,25.0,30.231721773322874 
 05/15  00:21:00,25.0,30.2091668332577 
 05/15  00:22:00,24.9,30.18670934634539 
 05/15  00:23:00,24.9,30.164351280255396 
 05/15  00:24:00,24.9,30.142105993040452 
 05/15  00:25:00,24.9,30.119982463691326 
 05/15  00:26:00,24.8,30.09798398684766 
 05/15  00:27:00,24.8,30.076110336589853 
 05/15  00:28:00,24.8,30.054359490440692 
 05/15  00:29:00,24.8,30.03272843991931 
 05/15  00:30:00,24.7,30.011213482063823 
 05/15  00:31:00,24.7,29.98981035551741 
 05/15  00:32:00,24.7,29.968514382248955 
 05/15  00:33:00,24.7,29.947320607019964 
 05/15  00:34:00,24.7,29.92622389515428 
 05/15  00:35:00,24.6,29.90522916529707 
 05/15  00:36:00,24.6,29.884324808380654 
 05/15  00:37:00,24.6,29.863500651693162 
 05/15  00:38:00,24.6,29.842760422577395 
 05/15  00:39:00,24.5,29.82209337466222 
 05/15  00:40:00,24.5,29.801490669539 
 05/15  00:41:00,24.5,29.78095715402457 
 05/15  00:42:00,24.5,29.76048305707979 
 05/15  00:43:00,24.5,29.740070423115455 
 05/15  00:44:00,24.4,29.71970830583839 
 05/15  00:45:00,24.4,29.699398849298785 
 05/15  00:46:00,24.4,29.679131765087472 
 05/15  00:47:00,24.4,29.658909951953426 
 05/15  00:48:00,24.3,29.638733972316942 
 05/15  00:49:00,24.3,29.61859088429733 
 05/15  00:50:00,24.3,29.598482886164106 
 05/15  00:51:00,24.3,29.57841106068045 
 05/15  00:52:00,24.2,29.558363288039466 
 05/15  00:53:00,24.2,29.538342440776255 
 05/15  00:54:00,24.2,29.51835008651683 
 05/15  00:55:00,24.2,29.498374511736145 
 05/15  00:56:00,24.2,29.478418911100672 
 05/15  00:57:00,24.1,29.45848513426124 
 05/15  00:58:00,24.1,29.438571900097028 
 05/15  00:59:00,24.1,29.41866638745914 
 05/15  01:00:00,24.1,29.39877212087154 
 05/15  01:01:00,24.0,29.378891858877072 
 05/15  01:02:00,24.0,29.359025295588733 
 05/15  01:03:00,24.0,29.33916045808529 
 05/15  01:04:00,24.0,29.319301505832016 
 05/15  01:05:00,24.0,29.29945164953401 
 05/15  01:06:00,23.9,29.279610889008804 
 05/15  01:07:00,23.9,29.259777615076235 
 05/15  01:08:00,23.9,29.239939828982205 
 05/15  01:09:00,23.9,29.22010221750315 
 05/15  01:10:00,23.9,29.200268635574403 
 05/15  01:11:00,23.8,29.180439714249744 
 05/15  01:12:00,23.8,29.16060431286866 
 05/15  01:13:00,23.8,29.14076736670253 
 05/15  01:14:00,23.8,29.12093291856808 
 05/15  01:15:00,23.7,29.10110186635288 
 05/15  01:16:00,23.7,29.08127349015368 
 05/15  01:17:00,23.7,29.06143659059879 
 05/15  01:18:00,23.7,29.041596463050404 
 05/15  01:19:00,23.7,29.02175738996447 
 05/15  01:20:00,23.6,29.001920273006256 
 05/15  01:21:00,23.6,28.982084255703416 
 05/15  01:22:00,23.6,28.96223799114746 
 05/15  01:23:00,23.6,28.942386720077554 
 05/15  01:24:00,23.6,28.92253478580846 
 05/15  01:25:00,23.5,28.90268325380725 
 05/15  01:26:00,23.5,28.882821373892284 
 05/15  01:27:00,23.5,28.862954421502504 
 05/15  01:28:00,23.5,28.84308674331784 
 05/15  01:29:00,23.4,28.823219510629837 
 05/15  01:30:00,23.4,28.8033522498807 
 05/15  01:31:00,23.4,28.783473980397506 
 05/15  01:32:00,23.4,28.76359020042708 
 05/15  01:33:00,23.4,28.743705377149617 
 05/15  01:34:00,23.3,28.72382058000613 
 05/15  01:35:00,23.3,28.703924970192038 
 05/15  01:36:00,23.3,28.684023690204075 
 05/15  01:37:00,23.3,28.66412093172882 
 05/15  01:38:00,23.3,28.64421770979936 
 05/15  01:39:00,23.2,28.624303278331833 
 05/15  01:40:00,23.2,28.604382898693302 
 05/15  01:41:00,23.2,28.584460884746616 
 05/15  01:42:00,23.2,28.564538407523546 
 05/15  01:43:00,23.2,28.54460491198384 
 05/15  01:44:00,23.1,28.524665839695043 
 05/15  01:45:00,23.1,28.504725619490664 
 05/15  01:46:00,23.1,28.484785484644824 
 05/15  01:47:00,23.1,28.464834942162483 
 05/15  01:48:00,23.1,28.444879527039163 
 05/15  01:49:00,23.0,28.424923746783637 
 05/15  01:50:00,23.0,28.404968852331415 
 05/15  01:51:00,23.0,28.38500431961233 
 05/15  01:52:00,23.0,28.365035675562087 
 05/15  01:53:00,23.0,28.345067455309078 
 05/15  01:54:00,22.9,28.325090823906283 
 05/15  01:55:00,22.9,28.30511155024857 
 05/15  01:56:00,22.9,28.285133916269157 
 05/15  01:57:00,22.9,28.265158973189813 
 05/15  01:58:00,22.9,28.245176078095046 
 05/15  01:59:00,22.8,28.22519060734327 
 05/15  02:00:00,22.8,28.205206925887722 
 05/15  02:01:00,22.8,28.185216088113187 
 05/15  02:02:00,22.8,28.165223827483118 
 05/15  02:03:00,22.8,28.14523440064677 
 05/15  02:04:00,22.8,28.12524876930822 
 05/15  02:05:00,22.7,28.105256160464773 
 05/15  02:06:00,22.7,28.085261880598715 
 05/15  02:07:00,22.7,28.065270374671385 
 05/15  02:08:00,22.7,28.045272915550967 
 05/15  02:09:00,22.7,28.02527550944217 
 05/15  02:10:00,22.6,28.005282685218766 
 05/15  02:11:00,22.6,27.985295681321357 
 05/15  02:12:00,22.6,27.965304025916318 
 05/15  02:13:00,22.6,27.945313298635412 
 05/15  02:14:00,22.6,27.925328072841193 
 05/15  02:15:00,22.5,27.905339528475473 
 05/15  02:16:00,22.5,27.885353397195274 
 05/15  02:17:00,22.5,27.865373888693124 
 05/15  02:18:00,22.5,27.84540195278085 
 05/15  02:19:00,22.5,27.825426829436278 
 05/15  02:20:00,22.5,27.805453739887263 
 05/15  02:21:00,22.4,27.785486880713265 
 05/15  02:22:00,22.4,27.765527250792438 
 05/15  02:23:00,22.4,27.745564184012256 
 05/15  02:24:00,22.4,27.72560314143322 
 05/15  02:25:00,22.4,27.705648673488724 
 05/15  02:26:00,22.3,27.685692027841487 
 05/15  02:27:00,22.3,27.66573903742751 
 05/15  02:28:00,22.3,27.645794036209576 
 05/15  02:29:00,22.3,27.62585810119709 
 05/15  02:30:00,22.3,27.605920603944394 
 05/15  02:31:00,22.3,27.585986846547467 
 05/15  02:32:00,22.2,27.566061083460564 
 05/15  02:33:00,22.2,27.546144351850412 
